GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain,Funcionario,14,55,0,2,5,11,5,7,5,6
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain,Pessoa,16,52,0,0,6,11,5,7,5,7
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain,Cliente,23,22,0,0,9,4,3,3,3,3
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain,Servico,13,44,0,0,5,10,4,6,4,6
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain,OrdemServico,13,92,3,3,4,22,6,13,3,13
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain,Endereco,31,55,0,0,11,18,10,10,10,10
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.Controller,ServicoController,35,6,0,0,8,3,5,1,5,1
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.Controller,FuncionarioController,39,6,0,0,8,3,6,1,6,1
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.Controller,OrdemServicoController,85,6,0,0,17,3,14,1,14,1
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.Controller,ClienteController,47,6,0,0,10,3,6,1,6,1
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.loader,OrdemServicoLoader,43,135,0,2,18,40,0,3,0,2
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.loader,FuncionarioLoader,0,165,0,2,0,41,0,3,0,2
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.loader,ClienteLoader,0,84,0,2,0,24,0,3,0,2
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.loader,ServicoLoader,0,76,0,2,0,22,0,3,0,2
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.service,ServicoService,46,44,5,5,11,11,8,5,3,5
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.service,OrdemServicoService,125,42,11,7,26,13,22,4,13,4
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.service,FuncionarioService,89,52,15,7,21,13,14,6,4,5
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.service,ClienteService,90,39,12,4,19,12,13,5,5,5
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain.exceptions,RecursoNaoEncontradoException,4,0,0,0,2,0,1,0,1,0
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain.exceptions,GlobalExceptionHandler.ErrorResponse,39,0,0,0,14,0,7,0,7,0
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain.exceptions,GlobalExceptionHandler,92,3,0,0,31,1,5,1,5,1
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain.exceptions,RecursoInvalidoException,0,4,0,0,0,2,0,1,0,1
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain.exceptions,GlobalExceptionHandler.ValidationError,21,0,0,0,8,0,4,0,4,0
cochitoservicosapi,br.edu.infnet.cochitoservicosapi.model.domain.exceptions,GlobalExceptionHandler.ValidationErrorResponse,15,0,0,0,4,0,2,0,2,0
cochitoservicosapi,br.edu.infnet.cochitoservicosapi,CochitoservicosapiApplication,5,3,0,0,2,1,1,1,1,1
